Date,Price,Chg,Av_Sev,Av_OneFrty,SevOverFortyFlag,Av_Six,Av_TwenOne,SixOverTwenOneFlag,DM_P,DM_N,ATR,ADX
Sep 04-2013,13421.55,2.98,13522.234507042253,13518.125714285716,True,13224.19735567408,13215.807425733436,True,-243.8999999999996,-50.0,554.5266666666668,246.591208105835
Sep 05-2013,13101.45,-2.38,13212.586089797283,13516.76549295775,False,13132.740212816938,13205.411296121303,False,178.8500000000004,29.600000000000364,580.97,229.5332107819151
Sep 06-2013,12985.85,-0.88,13199.22647087845,13510.997222222222,False,13099.711641388369,13185.451178292094,False,-435.0,70.39999999999964,539.3466666666667,220.93835120547004
Sep 10-2013,13076.3,0.7,13182.376497213445,13503.803424657537,False,13125.554498531223,13175.528343901904,False,20.0,-101.0,515.95,225.49352468859828
Sep 11-2013,12788.8,-2.2,13164.634587735653,13498.026351351353,False,13043.411641388368,13140.371221729003,False,-123.70000000000073,311.0,498.6366666666666,271.2218669502221
Sep 12-2013,12893.1,0.82,13133.405835201424,13488.570000000003,False,13073.211641388369,13117.89201975364,False,-45.649999999999636,28.95000000000073,462.75666666666655,275.02732999862593
Sep 13-2013,12823.8,-0.54,13109.607737507058,13480.734868421056,False,13053.411641388368,13091.156381594215,False,-90.75,-48.95000000000073,443.0433333333332,271.64505613986404
Sep 16-2013,12821.8,-0.02,13083.568877887337,13472.203246753246,False,13052.840212816938,13066.66943781292,False,114.10000000000036,34.95000000000073,447.0399999999999,264.5096544600831
Sep 17-2013,12824.4,0.02,13059.844946606923,13463.864743589746,False,13053.583069959795,13044.644943466292,True,-228.54999999999927,-9.950000000000726,442.95333333333326,224.45652903025797
Sep 18-2013,12859.15,0.27,13039.419733791185,13455.770253164555,False,13063.511641388366,13027.781766787537,True,56.4499999999989,-85.0,427.14999999999986,175.53165440898545
Sep 19-2013,13169.35,2.41,13031.76960434282,13448.3125,False,13152.140212816936,13040.651606170488,True,296.10000000000036,-82.35000000000036,422.9399999999999,183.87175752647735
Sep 20-2013,12990.6,-1.36,13039.241701771321,13444.86851851852,False,13101.06878424551,13036.101460154989,True,91.64999999999964,232.35000000000042,447.30666666666656,171.58574862801953
Sep 23-2013,12851.05,-1.07,13030.888742967525,13439.328658536588,False,13061.19735567408,13019.2786001409,True,-409.35000000000036,-156.0,426.2999999999999,163.96637278713146
