Date,Price,Open,High,Low,Volume,Chg
Mar 30-2015,38829.60,37965.00,39134.90,37850.00,8710.0,3.10
Mar 27-2015,37661.90,38000.00,38000.00,36908.30,7680.0,1.38
Mar 26-2015,37150.50,37400.00,37549.00,37003.30,10750.0,-1.22
Mar 25-2015,37610.95,38010.00,38010.00,37350.00,12640.0,-0.27
Mar 24-2015,37714.00,38510.00,38999.00,37586.90,9230.0,-1.97
Mar 23-2015,38471.90,40000.00,40196.15,38065.05,10310.0,-3.56
Mar 20-2015,39891.05,40400.00,40594.75,39697.05,5940.0,-1.01
Mar 19-2015,40298.30,41178.60,41178.60,40150.00,6390.0,-0.63
Mar 18-2015,40555.10,40695.00,40763.95,40313.00,4380.0,0.24
Mar 17-2015,40459.70,40299.00,40700.00,40003.00,5400.0,0.74
Mar 16-2015,40160.95,40300.00,40499.35,39698.10,10670.0,-0.20
Mar 13-2015,40241.45,41784.00,41840.00,40100.00,10040.0,-3.38
Mar 12-2015,41651.25,41550.00,41850.00,41429.00,6050.0,0.48
Mar 11-2015,41451.75,41350.00,41924.00,41201.80,6070.0,0.46
Mar 10-2015,41262.25,41423.95,41547.70,41149.05,7050.0,0.48
Mar 09-2015,41065.35,41500.00,41500.00,40912.35,4420.0,-1.37
Mar 05-2015,41634.20,41448.00,41940.00,41204.35,7060.0,0.75
Mar 04-2015,41323.90,41474.90,42149.00,41160.00,9600.0,-1.55
Mar 03-2015,41975.20,42300.00,42365.85,41750.60,10020.0,-0.74
Mar 02-2015,42286.20,41305.00,42474.90,40787.05,17510.0,2.64
Feb 28-2015,41200.35,41400.00,41440.00,40150.55,8890.0,-0.00
Feb 27-2015,41200.75,40048.00,41450.00,40000.00,13170.0,3.43
Feb 26-2015,39833.80,40950.00,40998.00,39551.20,18100.0,-2.64
Feb 25-2015,40912.30,40800.00,41130.10,40710.65,7820.0,0.09
Feb 24-2015,40874.70,40640.00,41180.00,40488.90,6540.0,0.80
Feb 23-2015,40550.75,40949.00,41158.00,40420.00,5920.0,-0.96
Feb 20-2015,40945.75,41349.00,41349.00,40638.65,7560.0,-0.42
Feb 19-2015,41119.00,41687.00,41687.00,40330.00,9760.0,-0.79
Feb 18-2015,41445.95,41199.00,41700.00,40670.35,10470.0,1.10
Feb 16-2015,40994.65,40750.00,41470.00,40566.00,15540.0,1.01
Feb 13-2015,40585.50,41540.00,41782.00,40250.10,26120.0,-0.42
Feb 12-2015,40755.25,38290.00,41664.95,38000.00,59600.0,7.60
Feb 11-2015,37877.25,37199.00,38048.00,37000.00,15310.0,3.35
Feb 10-2015,36648.95,37496.00,38299.00,35520.00,17120.0,-1.72
Feb 09-2015,37290.10,38849.90,38849.90,37111.00,9430.0,-3.98
Feb 06-2015,38837.40,39850.00,39974.00,38500.00,7890.0,-2.24
Feb 05-2015,39729.10,40150.00,40268.00,39650.00,4240.0,-0.82
Feb 04-2015,40056.30,40674.00,40850.00,39700.00,8190.0,-1.40
Feb 03-2015,40623.40,40397.00,41150.00,40253.55,16970.0,1.01
Feb 02-2015,40218.25,40000.00,40480.00,39900.05,7560.0,0.45
Jan 30-2015,40036.90,40000.00,40290.00,39651.00,7730.0,0.34
Jan 29-2015,39901.50,39900.00,40100.00,39599.00,8400.0,0.43
Jan 28-2015,39729.55,40049.00,40307.00,39501.50,9460.0,-0.54
Jan 27-2015,39944.60,39005.00,40250.00,38801.45,20520.0,3.14
Jan 23-2015,38728.15,39550.00,39599.00,38420.00,10570.0,-1.07
Jan 22-2015,39146.55,38999.00,39485.55,38959.00,10230.0,0.63
Jan 21-2015,38902.65,39540.00,39679.95,38800.05,8900.0,-1.55
Jan 20-2015,39513.20,39700.00,39980.00,39400.10,15520.0,0.04
Jan 19-2015,39496.10,38925.00,39950.00,38925.00,17570.0,0.85
Jan 16-2015,39161.75,38400.00,39874.05,38140.00,24080.0,2.19
Jan 15-2015,38321.40,38460.35,38798.00,38011.15,11450.0,0.23
Jan 14-2015,38235.35,38180.00,38388.00,37925.85,8680.0,0.17
Jan 13-2015,38170.10,38150.00,38400.00,38002.35,9240.0,0.20
Jan 12-2015,38094.45,37799.00,38300.00,37611.00,11590.0,1.03
Jan 09-2015,37707.25,38400.00,38489.50,37500.00,11070.0,-0.97
Jan 08-2015,38076.50,37790.00,38200.00,37712.55,13460.0,1.86
Jan 07-2015,37381.05,37499.00,37724.95,37011.00,10800.0,-0.21
Jan 06-2015,37460.00,38350.00,38350.00,37350.00,15730.0,-2.64
Jan 05-2015,38477.30,38299.00,39390.00,38000.00,38180.0,0.75
Jan 02-2015,38192.25,38150.00,38400.00,37981.00,11100.0,0.56
Jan 01-2015,37981.35,37950.00,38320.00,37848.35,9600.0,0.17
Dec 31-2014,37918.55,37923.80,38455.10,37531.90,14570.0,-0.01
Dec 30-2014,37923.80,38411.00,38650.00,37800.00,16380.0,-1.28
Dec 29-2014,38414.45,36719.90,38490.00,36501.00,30910.0,5.41
Dec 26-2014,36442.95,36499.00,37271.35,36210.00,7360.0,0.71
Dec 24-2014,36186.45,36999.00,37250.00,35786.00,28000.0,-2.03
Dec 23-2014,36935.65,37540.00,37698.00,36820.20,11740.0,-1.43
Dec 22-2014,37472.65,38005.00,38196.95,37223.95,12180.0,-1.05
Dec 19-2014,37871.15,37599.00,38314.00,36700.00,18890.0,1.95
Dec 18-2014,37146.20,35940.00,37351.00,35653.45,21610.0,4.46
Dec 17-2014,35561.25,37000.10,37300.00,34565.10,27540.0,-4.43
Dec 16-2014,37210.95,37514.00,37899.00,37025.00,12110.0,-1.77
Dec 15-2014,37880.15,37400.00,38062.70,37369.90,11310.0,0.35
Dec 12-2014,37747.40,37900.00,38176.00,37399.95,12660.0,0.19
Dec 11-2014,37674.80,37453.00,38024.95,36535.05,21430.0,1.21
Dec 10-2014,37224.20,37070.00,37568.00,36798.25,13630.0,0.41
Dec 09-2014,37073.25,37879.90,38180.00,36418.00,23160.0,-2.00
Dec 08-2014,37831.65,38150.00,38640.00,37400.00,19850.0,-0.58
Dec 05-2014,38051.90,37900.00,38623.05,37719.05,21190.0,1.16
Dec 04-2014,37615.25,37780.00,39499.00,37250.20,73540.0,0.32
Dec 03-2014,37496.00,34330.00,37697.00,34225.10,60690.0,9.38
Dec 02-2014,34281.45,33699.00,34400.00,33450.00,17400.0,2.23
Dec 01-2014,33532.75,33601.10,33849.95,33470.00,7840.0,-0.03
Nov 28-2014,33543.70,33298.00,33980.00,33200.05,15030.0,1.18
Nov 27-2014,33151.20,33400.00,33675.00,32880.00,24600.0,0.49
Nov 26-2014,32989.70,31860.00,33379.95,31725.00,47450.0,4.02
Nov 25-2014,31714.25,31990.00,32178.90,31520.00,7210.0,-0.65
Nov 24-2014,31921.70,31700.10,32222.05,31700.10,6210.0,0.78
Nov 21-2014,31676.05,31950.00,32050.00,31600.00,7480.0,-1.15
Nov 20-2014,32044.90,32271.55,32300.00,31700.05,5400.0,-0.16
Nov 19-2014,32095.80,32798.85,33049.80,31666.00,11760.0,-1.60
Nov 18-2014,32618.00,32663.00,33400.00,32440.00,6950.0,-0.01
Nov 17-2014,32621.20,32679.80,32770.00,32210.00,6340.0,0.82
Nov 14-2014,32355.25,32260.00,32606.40,32215.65,7440.0,0.34
Nov 13-2014,32244.75,32499.90,32500.00,32050.50,5320.0,-0.13
Nov 12-2014,32286.10,32675.00,33390.00,32145.35,31380.0,-1.07
Nov 11-2014,32634.55,32450.00,32700.00,32245.00,6160.0,0.78
Nov 10-2014,32380.85,32299.00,32741.00,32203.20,6450.0,0.14
Nov 07-2014,32336.30,32590.00,32667.00,32101.00,5100.0,-0.29
Nov 05-2014,32428.80,31555.00,32720.00,31555.00,13320.0,1.89
Nov 03-2014,31828.25,31450.00,32029.95,31320.05,9880.0,1.64
Oct 31-2014,31315.65,30999.00,31774.00,30952.00,8710.0,1.35
Oct 30-2014,30897.20,31100.00,31298.00,30775.00,26330.0,-0.56
Oct 29-2014,31071.45,31151.10,31258.00,30922.20,5190.0,0.01
Oct 28-2014,31067.25,30712.00,31239.90,30674.00,6870.0,1.06
Oct 27-2014,30742.50,30949.00,31000.00,30610.00,5710.0,-0.47
Oct 23-2014,30887.75,30988.00,30988.00,30800.10,1270.0,0.46
Oct 22-2014,30747.80,30840.00,30900.00,30633.95,4150.0,0.37
Oct 21-2014,30634.15,30266.05,30960.00,30222.00,12110.0,1.30
Oct 20-2014,30240.05,30933.00,30933.00,30135.00,5420.0,-0.27
Oct 17-2014,30323.20,30301.00,30900.00,30113.00,6910.0,-0.52
Oct 16-2014,30482.90,31209.00,31575.00,30132.75,12140.0,-2.35
Oct 14-2014,31217.45,31899.00,32000.00,31011.10,10000.0,-1.41
Oct 13-2014,31662.90,31540.00,31859.95,31533.20,6400.0,-0.04
Oct 10-2014,31675.85,31950.00,32348.00,31586.00,9990.0,-0.94
Oct 09-2014,31977.45,32220.00,32397.85,31935.05,6860.0,-0.35
Oct 08-2014,32090.35,31830.00,32282.00,31656.00,10930.0,0.74
Oct 07-2014,31853.30,31798.00,32285.00,31499.65,15960.0,0.57
Oct 01-2014,31674.25,32650.25,32900.05,31550.00,18460.0,-3.08
Sep 30-2014,32681.95,30950.00,32880.00,30868.55,37940.0,5.30
Sep 29-2014,31036.05,30800.00,31190.00,30708.25,8360.0,0.94
Sep 26-2014,30745.70,31050.00,31400.00,29848.00,18570.0,-0.70
Sep 25-2014,30963.30,31261.00,31608.00,30850.00,12500.0,-1.20
Sep 24-2014,31340.60,31012.00,31470.05,30701.00,11630.0,1.17
Sep 23-2014,30977.15,31660.00,31850.00,30900.00,14430.0,-1.97
Sep 22-2014,31601.25,31599.00,31950.00,31337.00,11230.0,-0.46
Sep 19-2014,31748.50,31570.00,32120.05,31450.00,16040.0,0.71
Sep 18-2014,31523.70,31101.00,31739.75,31005.00,18560.0,0.69
Sep 17-2014,31307.00,30695.00,31440.00,30013.00,31290.0,3.35
Sep 16-2014,30292.00,31570.00,32098.70,30150.00,32150.0,-3.61
Sep 15-2014,31426.75,31133.00,31849.85,31010.05,18240.0,0.78
Sep 12-2014,31184.90,31001.00,31774.90,31001.00,20480.0,-0.24
Sep 11-2014,31260.40,31200.00,31700.00,31010.00,33970.0,0.65
Sep 10-2014,31058.80,29897.00,31513.85,29701.00,47830.0,3.85
Sep 09-2014,29907.60,29735.00,30299.90,29625.00,32100.0,1.11
Sep 08-2014,29580.70,27170.00,31099.00,27159.70,70850.0,8.91
Sep 05-2014,27159.70,26730.00,27561.00,26525.00,18620.0,1.64
Sep 04-2014,26721.15,25578.00,27104.40,25325.05,21790.0,4.36
Sep 03-2014,25605.50,25600.00,25797.85,25151.05,12640.0,-0.01
