Date,Price,Chg,Av_Sev,Av_OneFrty,SevOverFortyFlag,Av_Six,Av_TwenOne,SixOverTwenOneFlag,DM_P,DM_N,TR
Aug 01-2018,79578.85,0.11,77248.52535915465,74004.26123177561,True,32126.283069959794,77398.96792490092,False,-343.1999999999971,77.85000000000582,1196.800000000003
Aug 02-2018,78372.95,-1.52,77426.40403969245,74066.22844834618,True,31781.740212816938,77487.51174990991,False,-816.8000000000029,1195.0,1575.0
Aug 03-2018,78477.15,0.13,77515.38888371526,74128.79471149022,True,31811.511641388362,77577.47886355447,False,-430.0,-374.8500000000058,770.1499999999942
Aug 06-2018,76892.3,-2.02,77558.17805049659,74167.99336806482,True,31358.69735567408,77515.1898759586,False,-214.14999999999418,1878.8500000000058,2434.850000000006
Aug 07-2018,77200.2,0.4,77506.31692170625,74211.00339121284,True,31446.668784245507,77486.55443268963,False,-1352.5,-200.0,882.3500000000058
Aug 08-2018,76650.1,-0.71,77462.99233599415,74245.60050623109,True,31289.49735567408,77410.51312062693,False,6.5,389.8999999999942,1278.75
Aug 09-2018,75995.1,-0.85,77370.64232849659,74270.41610188739,True,31102.354498531226,77281.83920056994,False,-139.65000000000873,900.0500000000029,2039.1499999999942
Aug 10-2018,74233.95,-2.32,77195.98316675107,74269.89885221522,True,30599.168784245507,77004.75836415449,False,-1150.5,1311.050000000003,2199.699999999997
Aug 13-2018,73253.95,-1.32,76899.10179051635,74255.48823019798,True,30319.168784245507,76663.77578559499,False,-1809.800000000003,950.0,1339.8999999999942
Aug 14-2018,73819.8,0.77,76583.66379163456,74249.30825530154,True,30480.840212816936,76405.23253235908,False,-189.89999999999418,-250.0,900.0
Aug 16-2018,73164.7,-0.89,76313.94992581377,74233.92374104194,True,30293.668784245507,76110.63866578098,False,-100.10000000000582,300.0,1099.8999999999942
Aug 17-2018,73747.75,0.8,76044.07842167448,74227.02765960874,True,30460.254498531223,75895.83060525544,False,-299.8999999999942,-41.0,759.0
Aug 20-2018,74761.9,1.38,75863.88889806515,74234.61450131642,True,30750.011641388362,75792.74600477767,False,1189.699999999997,-359.0,1589.699999999997
Aug 21-2018,74498.95,-0.35,75756.30104689661,74238.36394101406,True,30674.883069959793,75675.12818616151,False,160.3000000000029,-756.6999999999971,993.3000000000029
Aug 23-2018,74573.5,0.1,75644.09640626964,74243.1176439784,True,30696.183069959796,75574.98016923774,False,-450.0,156.6999999999971,700.0
Aug 24-2018,74075.9,-0.67,75532.75255883667,74240.74576250353,True,30554.011641388362,75438.7001538525,False,252.64999999999418,300.0,1252.6499999999942
Aug 27-2018,74171.9,0.13,75403.01564247637,74239.76922686517,True,30581.440212816935,75323.53650350226,False,-552.6499999999942,-200.0,500.0
Aug 28-2018,73316.9,-1.15,75267.01153157261,74226.67888322168,True,30337.15449853122,75141.11500318386,False,149.0,797.1499999999942,1446.1499999999942
Aug 29-2018,73286.4,-0.04,75088.86951013643,74213.34159409798,True,30328.440212816935,74972.50454834895,False,-1009.0,2.8500000000058208,440.0
Aug 30-2018,73218.8,-0.09,74923.10442022645,74199.23462113204,True,30309.125927102654,74813.07686213541,False,513.9499999999971,199.0,1152.949999999997
Aug 31-2018,74026.75,1.1,74790.9268096809,74196.78803076137,True,30539.96878424551,74741.59260194127,False,146.0500000000029,1.0,1300.0
Sep 03-2018,73038.9,-1.33,74693.6294300556,74180.36408706263,True,30257.72592710265,74586.80236540115,False,-130.0500000000029,0.0,1169.949999999997
